Key,Translation
Achievements.COMPLETELY_AWESOME_Name,Completely Awesome
Achievements.DAVY_JONES_LOCKER_Description,"เอาชนะ Flying Dutchman ใบเรือแห่งการปล้นสะดม ทุกที่ ทุกเวลา"
Achievements.DAVY_JONES_LOCKER_Name,Davy Jones' Locker
Achievements.DECEIVER_OF_FOOLS_Description,สังหาร nymph ไม่รู้เธอเป็นใครแต่ที่รู้ๆไม่ใช่คนแน่ๆ 
Achievements.DECEIVER_OF_FOOLS_Name,Deceiver of Fools
Achievements.DEFEAT_DREADNAUTILUS_Description,"สังหาร Dreadnautilus หอยสังหารที่ซุ่มซ่อนอยู่ใต้พื้นผิวของทะเลเลือด"
Achievements.DEFEAT_DREADNAUTILUS_Name,Don't Dread on Me
Achievements.DEFEAT_EMPRESS_OF_LIGHT_Description,"เอาชนะ Empress of Light จักรพรรดินีแห่งแสงซึ่งรับผิดชอบพลังของแสงสว่างของดินแดนนี้ (ลองสู้กลางวันบ้างหรือยัง? ขอให้สนุก..)"
Achievements.DEFEAT_EMPRESS_OF_LIGHT_Name,Fae Flayer
Achievements.DEFEAT_OLD_ONES_ARMY_TIER3_Description,ขับไล่กองกำลังที่แข็งแกร่งที่สุดของ Old One's Army 
Achievements.DEFEAT_OLD_ONES_ARMY_TIER3_Name,Hero of Etheria
Achievements.DEFEAT_QUEEN_SLIME_Description,"เอาชนะ  Queen Slime"
Achievements.DEFEAT_QUEEN_SLIME_Name,Just Desserts
Achievements.DIE_TO_DEAD_MANS_CHEST_Description,หมกมุ่นอยู่กับว่าสามารถเปิดหีบได้หรือไม่โดยที่ไม่ได้หยุดคิดว่าควรทำหรือไม่ มองดูรอบๆก่อนสิ !!
Achievements.DIE_TO_DEAD_MANS_CHEST_Name,Dead Men Tell No Tales
Achievements.DO_YOU_WANT_TO_SLAY_A_SNOWMAN_Description,"เอาชนะ frost legion กลุ่มนักเลงป่าเถื่อนแห่งเมืองตุ๊กตาหิมะ "
Achievements.DO_YOU_WANT_TO_SLAY_A_SNOWMAN_Name,Do You Want to Slay a Snowman?
Achievements.DRAX_ATTAX_Description,"คราฟ drax หรือ pickaxe axe โดยใช้ hallowed bar และวิญญาณของบอสจักรกลทั้งสาม"
Achievements.DRAX_ATTAX_Name,Drax Attax
Achievements.DUNGEON_HEIST_Description,"ขโมยกุญแจจากดันเจี้ยนและปลดล็อคหนึ่งในหีบทองที่มีค่าของพวกเขา เรียกว่าปล้นผีกันง่ายๆเนี่ยหล่ะ"
Achievements.DUNGEON_HEIST_Name,Dungeon Heist
Achievements.DYE_HARD_Description,ใส่สีย้อมในทุกช่องสีที่เป็นไปได้ ย้อมมันทุกอย่าง
Achievements.DYE_HARD_Name,Dye Hard
Achievements.ExplorerCategory,Explorer
Achievements.EXTRA_SHINY_Description,ขุดแร่อันทรงพลังที่ได้เกิดใหม่ในดินแดน
Achievements.EXTRA_SHINY_Name,Extra Shiny!
Achievements.EYE_ON_YOU_Description,"เอาชนะ Eye of Cthulhu ที่มาแอบถ่ำมองในเวลากลางคืน"
Achievements.EYE_ON_YOU_Name,Eye on You
Achievements.FASHION_STATEMENT_Description,สวมชุดเกราะหรือชุดแต่งตัวในช่องโซเชียลทั้งสามช่อง นี้ดูดีแล้วเหรอ?
Achievements.FASHION_STATEMENT_Name,Fashion Statement
Achievements.FAST_AND_FISHIOUS_Description,ทำภารกิจตกปลาครั้งที่ 50 สำเร็จ
Achievements.FAST_AND_FISHIOUS_Name,Fast and Fishious
Achievements.FIND_A_FAIRY_Description,พบกับนางฟ้า...แต่ดูเหมือนเราจะไม่สนใจ.....ใช่มั้ย?!?
Achievements.FIND_A_FAIRY_Name,Hey! Listen!
Achievements.FISH_OUT_OF_WATER_Description,"เอาชนะ Duke Fishron วายร้ายกลายพันธุ์แห่งท้องทะเล"
Achievements.FISH_OUT_OF_WATER_Name,Fish Out of Water
Achievements.FLY_A_KITE_ON_A_WINDY_DAY_Description,ร่อนว่าวในวันที่ลมแรง
Achievements.FLY_A_KITE_ON_A_WINDY_DAY_Name,A Rather Blustery Day
Achievements.FOUND_GRAVEYARD_Description,เข้าไปในสุสานที่เต็มไปด้วยหมอกและผู้คนที่หลับไม่มีตื่นแน่นอน
Achievements.FOUND_GRAVEYARD_Name,Quiet Neighborhood
Achievements.FREQUENT_FLYER_Description,ใช้จ่ายมากกว่า 1 gold ในการรักษาโดยนางพยาบาล หายเจ็บตัว แต่ยังเจ็บใจ
Achievements.FREQUENT_FLYER_Name,The Frequent Flyer
Achievements.FUNKYTOWN_Description,ปลูกหรือเจอ เห็ดแสงบนพื้นผิวโลก มันแปลกดีนะ
Achievements.FUNKYTOWN_Name,Funkytown
Achievements.GELATIN_WORLD_TOUR_Description,เอาชนะ slime ทุกประเภทที่มีในเกม เล่นมานานเท่าไรแล้วนิ
Achievements.GELATIN_WORLD_TOUR_Name,Gelatin World Tour
Achievements.GET_A_LIFE_Description,"กินผลไม้  life fruit ซึ่งเติบโตในป่าหญ้าใต้ดินที่หนาทึบ งานนี้ต้อง max hp ให้ได้"
Achievements.GET_A_LIFE_Name,Get a Life
Achievements.GET_TERRASPARK_BOOTS_Description,"ได้  Terraspark Boots ที่สร้างขึ้นจากรองเท้าไฟและน้ำแข็ง"
Achievements.GET_TERRASPARK_BOOTS_Name,Boots of the Hero
Achievements.GET_ZENITH_Description,"ได้ดาบ Zenith สุดยอดของสุดยอดแห่งการเดินทางแสนทรหดที่หลอมรวมเป็นสุดยอดแห่งดาบ"
Achievements.GET_ZENITH_Name,Infinity +1 Sword
Achievements.GLORIOUS_GOLDEN_POLE_Description,ได้  golden fishing rod ตกปลามันส์หล่ะทีนี้
Achievements.GLORIOUS_GOLDEN_POLE_Name,Glorious Golden Pole
Achievements.GO_LAVA_FISHING_Description,ตกปลาในลาวา แบบนี้จะได้ปลาทอดหรือป่าว?
Achievements.GO_LAVA_FISHING_Name,Hot Reels!
Achievements.GOBLIN_PUNTER_Description,"มีชัยชนะเหนือการรุกรานของก๊อบลิน กองทหารที่หยาบกร้าน ดิบเถื่อน หูแหลม และ พ่อมดเปลวไฟแห่งเงา"
Achievements.GOBLIN_PUNTER_Name,Goblin Punter
Achievements.GOOD_LITTLE_SLAVE_Description,ทำภารกิจตกปลาครั้งที่ 10 สำเร็จ
Achievements.GOOD_LITTLE_SLAVE_Name,Good Little Slave
Achievements.HEAD_IN_THE_CLOUDS_Description,สวมปีกคู่หนึ่ง พร้อมบินแล้วสิ ไม่ต้องกลัวตกตายแล้ว บินสู่ความเวงว้างอันไกลโพ้น !!
Achievements.HEAD_IN_THE_CLOUDS_Name,Head in the Clouds
Achievements.HEART_BREAKER_Description,ใต้ดินเจอหัวใจที่ใหนต้องทุบให้แหลก !! แล้วใช้มันซะ
Achievements.HEART_BREAKER_Name,Heart Breaker
Achievements.HEAVY_METAL_Description,คราฟ anvil ครั้งแรก มาถึงจุดเปลี่ยนแล้ว คราฟเกราะเลย!!
Achievements.HEAVY_METAL_Name,Heavy Metal
Achievements.HEX_EDUCATION_Description,"สังหาร Goblin Summoner พ่อมดเปลวเพลิงแห่งความมืด"
Achievements.HEX_EDUCATION_Name,Hex Education
Achievements.HOLD_ON_TIGHT_Description,ใส่ตะขอ grappling hook สบายล่ะทีนี้ ขึ้นง่ายล่ะ
Achievements.HOLD_ON_TIGHT_Name,Hold on Tight!
Achievements.I_AM_LOOT_Description,พบหีบสีทองใต้ดินและดูสิ่งที่อยู่ข้างในที่อาจให้ความหวังหรือขยะดีๆ นี้เอง
Achievements.I_AM_LOOT_Name,I Am Loot!
Achievements.ICE_SCREAM_Description,"ไปถึง wave 15 ของอีเวท frost moon ณ ที่เทศกาลน้ำแข็งเปลี่ยนอย่างรวดเร็วจนกลายเป็นความบ้าคลั่งที่จะละลาย  เราไปพร้อมกับมัน"
Achievements.ICE_SCREAM_Name,Ice Scream
Achievements.INDEPENDENCE_DAY_Description,"อะไรกันนี่ !! ทำลาย Mothership!! โดยไม่ใช้เทคโนโลยี ?!?"
Achievements.INDEPENDENCE_DAY_Name,Independence Day
Achievements.INTO_ORBIT_Description,จะขึ้นสูงไปใหนถึงล่ะนั้น
Achievements.INTO_ORBIT_Name,Into Orbit
Achievements.IT_CAN_TALK_Description,สร้างบ้านใน biome เห็ดบนพื้นโลกและย้าย Truffle เข้ามา
Achievements.IT_CAN_TALK_Name,It Can Talk?!
Achievements.ITS_GETTING_HOT_IN_HERE_Description,ขุดลึกไปหน่อยหรือป่าวเนี่ย
Achievements.ITS_GETTING_HOT_IN_HERE_Name,It's Getting Hot in Here
Achievements.ITS_HARD_Description,"ปลดปล่อยวิญญาณโบราณแห่งแสงสว่างและความมืดเปิดโอกาสให้ศัตรูที่แข็งแกร่งกว่า กำเนิด และปลดปล่อยพลังอันน่าตื่นตาไปทั่วดินแดน (พร้อมสายรุ้ง! ด้วย)"
Achievements.ITS_HARD_Name,It's Hard!
Achievements.JEEPERS_CREEPERS_Description,สะดุดเข้าไปในถ้ำแมงมุมที่อยู่ใต้ดิน
Achievements.JEEPERS_CREEPERS_Name,Jeepers Creepers
Achievements.KILL_THE_SUN_Description,"เอาชีวิตรอดจากสุริยุปราคา วันที่มืดยิ่งกว่ากลางคืน ที่เต็มไปด้วยสิ่งมีชีวิตที่น่ากลัว"
Achievements.KILL_THE_SUN_Name,Kill the Sun
Achievements.LIHZAHRDIAN_IDOL_Description,"เอาชนะ Golem ซึ่งเป็นพิธีกรรมหน้าหินของชนเผ่าลิห์ซาห์ร์ด"
Achievements.LIHZAHRDIAN_IDOL_Name,Lihzahrdian Idol
Achievements.LIKE_A_BOSS_Description,ได้รับไอเทมอัญเชิญบอส....จะลองเรียกดูมั้ย?
Achievements.LIKE_A_BOSS_Name,Like a Boss
Achievements.LUCKY_BREAK_Description,รอดจากการตกตายโดยเหลือเลือดนิดเดียว เกือบไป...เออ..ระวังมอนสะกิดตาย
Achievements.LUCKY_BREAK_Name,Lucky Break
Achievements.MARATHON_MEDALIST_Description,เดินทางด้วยเท้ารวม 26.2 ไมล์
Achievements.MARATHON_MEDALIST_Name,Marathon Medalist
Achievements.MASTERMIND_Description,"เอาชนะ Brain of Cthulhu สมองปีศาจขนาดมหึมาที่หลอกหลอนในแดน crimson แสนสยอง"
Achievements.MASTERMIND_Name,Mastermind
Achievements.MATCHING_ATTIRE_Description,"สวมชุดเกราะในช่องเกราะทั้งสามช่อง: หัว ตัวและเท้า ยังไม่ดีพอแต่ยังดีกว่าไม่มี"
Achievements.MATCHING_ATTIRE_Name,Matching Attire
Achievements.MECHA_MAYHEM_Description,"ทำการต่อสู้กับ Twins, the Destroyer และ Skeletron Prime พร้อมกันแล้วได้รับชัยชนะ บ้าไปแล้ว!!"
Achievements.MECHA_MAYHEM_Name,Mecha Mayhem
Achievements.MINER_FOR_FIRE_Description,คราฟ molten pickaxe โดยใช้วัสดุที่ร้อนที่สุด 
Achievements.MINER_FOR_FIRE_Name,Miner for Fire
Achievements.NO_HOBO_Description,"สร้างบ้านที่เหมาะสมเพียงพอสำหรับ NPC เป็นหลังแรก อย่าลืมสร้างเพิ่มล่ะ"
Achievements.NO_HOBO_Name,No Hobo
Achievements.NoCategory,None
Achievements.NOT_THE_BEES_Description,ยิงปืน Bee Gun ในขณะที่สวมชุดเกราะ Bee Armor
Achievements.NOT_THE_BEES_Name,Not the Bees!
Achievements.OBSESSIVE_DEVOTION_Description,"เอาชนะ Ancient Cultist ผู้นําลัทธิโบราณ"
Achievements.OBSESSIVE_DEVOTION_Name,Obsessive Devotion
Achievements.OBTAIN_HAMMER_Description,หาค้อนมาใช้ ไว้ทุบกำแพง
Achievements.OBTAIN_HAMMER_Name,Stop! Hammer Time!
Achievements.OOO_SHINY_Description,ขุดแร่เป็นครั้งแรก โดยไม่ตายซะก่อน
Achievements.OOO_SHINY_Name,Ooo! Shiny!
Achievements.PET_THE_PET_Description,น่ารักงี้ ต้องลูบหัวมัน!
Achievements.PET_THE_PET_Name,Feeling Petty
Achievements.PHOTOSYNTHESIS_Description,"แร่ chlorophyte เป็นแร่อินทรีย์ที่พบได้ลึกในบริเวณพืชที่หนาแน่นที่สุด รวมทั้งมอนหนาแน่นเช่นกัน"
Achievements.PHOTOSYNTHESIS_Name,Photosynthesis
Achievements.PRETTY_IN_PINK_Description,ฆ่า pinky เลือด HP เยอะไม่สมกับขนาดตัวชักเท่าไหร่
Achievements.PRETTY_IN_PINK_Name,Pretty in Pink
Achievements.PRISMANCER_Description,วู้! rainbow rod !
Achievements.PRISMANCER_Name,Prismancer
Achievements.PUMPKIN_SMASHER_Description,"เอาชนะ Pumpking ลอร์ดแห่งความน่ากลัววันฮาโลวีน"
Achievements.PUMPKIN_SMASHER_Name,Pumpkin Smasher
Achievements.RAINBOWS_AND_UNICORNS_Description,ยิงปืน rainbow gun ขณะขี่ unicorn คงไม่อ้วกเป็นสายรุ้งด้วยนะ
Achievements.RAINBOWS_AND_UNICORNS_Name,Rainbows and Unicorns
Achievements.REAL_ESTATE_AGENT_Description,มี NPC ครบทุกคนในแมพเรา 
Achievements.REAL_ESTATE_AGENT_Name,Real Estate Agent
Achievements.ROBBING_THE_GRAVE_Description,ได้สมบัติหายากจากมอนสเตอร์ที่สู้ยากในดันเจี้ยน
Achievements.ROBBING_THE_GRAVE_Name,Robbing the Grave
Achievements.ROCK_BOTTOM_Description,ลงลึกไปแล้วพอๆ ขึ้นๆ
Achievements.ROCK_BOTTOM_Name,Rock Bottom
Achievements.SERVANT_IN_TRAINING_Description,ทำภารกิจตกปลาครั้งแรกสำเร็จ
Achievements.SERVANT_IN_TRAINING_Name,Servant-in-Training
Achievements.SICK_THROW_Description,Terrarian! โย่ว โยโย่ โยเย้
Achievements.SICK_THROW_Name,Sick Throw
Achievements.SLAYER_OF_WORLDS_Description,เอาชนะบอสทุกตัวใน Terraria เทพนะเรา เล่นโหมด normal? ใช่ป่าวเนี่ย
Achievements.SLAYER_OF_WORLDS_Name,Slayer of Worlds
Achievements.SlayerCategory,Slayer
Achievements.SLIPPERY_SHINOBI_Description,"เอาชนะ King Slime เจ้าแห่งทุกสิ่งที่ลื่นไหล แต่เราไหลลื่นกว่าจนชนะได้ "
Achievements.SLIPPERY_SHINOBI_Name,Slippery Shinobi
Achievements.SMASHING_POPPET_Description,"ใช้วัตถุระเบิดหรือค้อนคู่ใจทุบ Shadow Orb หรือ Crimson Heart หวังว่า ได้เตรียมตัวพร้อมที่จะเจอกับอะไรบางอย่างแล้วนะ..."
Achievements.SMASHING_POPPET_Name,"Smashing, Poppet!"
Achievements.STAR_DESTROYER_Description,เอาชนะหอคอยปีศาจแห่งดวงจันทร์ทั้งสี่
Achievements.STAR_DESTROYER_Name,Star Destroyer
Achievements.STAR_POWER_Description,"สร้างคริสตัลมานาจากดวงดาวที่ร่วงหล่นและใช้มันซะ (ระวังเสียงแสบหู)"
Achievements.STAR_POWER_Name,Star Power
Achievements.STICKY_SITUATION_Description,"เอาชีวิตรอดจากฝน slime สิ่งมีชีวิตเจลาตินที่ตกลงมาจากท้องฟ้าอย่างไม่มีเหตุผล"
Achievements.STICKY_SITUATION_Name,Sticky Situation
Achievements.STILL_HUNGRY_Description,"เอาชนะ Wall of Flesh เจ้าแห่งศูนย์กลางของทุกสิ่งและแกนกลางของโลกที่เกิดขึ้นหลังจากการเสียสละครั้งยิ่ง ใหญ่"
Achievements.STILL_HUNGRY_Name,Still Hungry
Achievements.STING_OPERATION_Description,"เอาชนะ Queen Be ผึ้งราชินีแห่งป่าลึก ลึกจริงๆ แถมได้ฝั่งเข็มฟรีด้วย!"
Achievements.STING_OPERATION_Name,Sting Operation
Achievements.SUPREME_HELPER_MINION_Description,ทำภารกิจตกปลาที่ 200 สำเร็จ ไม่เบื่อเหรอ?!?
Achievements.SUPREME_HELPER_MINION_Name,Supreme Helper Minion!
Achievements.SWORD_OF_THE_HERO_Description,"ได้ดาบ Terra Blade ที่สร้างขึ้นจากสุดยอดใบมีดแห่งแสงและความมืด ตำนานแห่งดินแดน terraria"
Achievements.SWORD_OF_THE_HERO_Name,Sword of the Hero
Achievements.TALK_TO_NPC_AT_MAX_HAPPINESS_Description,พบกับ NPC ผู้ที่มีความสุขสุดๆ 
Achievements.TALK_TO_NPC_AT_MAX_HAPPINESS_Name,Leading Landlord
Achievements.TEMPLE_RAIDER_Description,เจาะรูกำแพงที่ไม่สามารถพังได้ของวิหารแห่งป่าไพร
Achievements.TEMPLE_RAIDER_Name,Temple Raider
Achievements.THE_CAVALRY_Description,พร้อมสำหรับขี่ ลองกด R ดู
Achievements.THE_CAVALRY_Name,The Cavalry
Achievements.THE_GREAT_SOUTHERN_PLANTKILL_Description,"เอาชนะ Plantera สิ่งชั่วร้ายที่เติบโตไม่มีวันสิ้นสุด"
Achievements.THE_GREAT_SOUTHERN_PLANTKILL_Name,The Great Southern Plantkill
Achievements.THERE_ARE_SOME_WHO_CALL_HIM_Description,สังหาร Tim
Achievements.THERE_ARE_SOME_WHO_CALL_HIM_Name,There are Some Who Call Him...
Achievements.THROW_A_PARTY_Description,"ใครว่าจัดงานสรรค์สรรเป็นเรื่องไร้สาระ มาจัดปาตี้เลยดีกว่าแบบงี้"
Achievements.THROW_A_PARTY_Name,Jolly Jamboree
Achievements.THROWING_LINES_Description,เย้โยโย่ว.
Achievements.THROWING_LINES_Name,Throwing Lines
Achievements.TIL_DEATH_Description,สังหาร groom
Achievements.TIL_DEATH_Name,Til Death...
Achievements.TIMBER_Description,ตัดต้นไม้เป็นครั้งแรกในเกม เอ่อ...แนะนำตัดตรงโคนต้นนะ
Achievements.TIMBER_Name,Timber!!
Achievements.TIN_FOIL_HATTER_Description,"ขับไล่มนุษย์ต่างดาว ที่เข้ามารุกรานหวังขโมยสมอง และ แอบถ้ำมองในที่ไม่ควรจะสำรวจ"
Achievements.TIN_FOIL_HATTER_Name,Tin-Foil Hatter
Achievements.TOPPED_OFF_Description,ค่า max hp และ mana สูงสุดแล้ว!! เสียใจด้วยคุณไปได้แค่นี้หากยังตายบ่อยอยู่...
Achievements.TOPPED_OFF_Name,Topped Off
Achievements.TROUT_MONKEY_Description,ทำภารกิจตกปลาครั้งที่ 25 สำเร็จ
Achievements.TROUT_MONKEY_Name,Trout Monkey
Achievements.TURN_GNOME_TO_STATUE_Description,โรคกลัวแสง
Achievements.TURN_GNOME_TO_STATUE_Name,Heliophobia
Achievements.VEHICULAR_MANSLAUGHTER_Description,รถรางขับไว ชนแหลกแบบนี้ไม่เมาแน่นะ?
Achievements.VEHICULAR_MANSLAUGHTER_Name,Vehicular Manslaughter
Achievements.WALK_THE_PLANK_Description,"ขับไล่โจรสลัด สลัดมันออกจากดินแดน และ ชีวิตส่วนตัวของคุณ....เอ่อ มีอะไรหายหรือป่าว"
Achievements.WALK_THE_PLANK_Name,Walk the Plank
Achievements.WATCH_YOUR_STEP_Description,ทำดีแล้ว แค่มองไม่เห็นเฉยๆ
Achievements.WATCH_YOUR_STEP_Name,Watch Your Step!
Achievements.WHERES_MY_HONEY_Description,ค้นพบรังผึ้งขนาดใหญ่ที่อยู่ลึกเข้าไปในป่า ลึกนี้หมายถึงลงลึกน่ะ
Achievements.WHERES_MY_HONEY_Name,Where's My Honey?
Achievements.WINTERHEARTED_Description,"สังหาร Ice Queen แม่มดชั่วร้ายแห่งแดนน้ำแข็ง"
Achievements.WINTERHEARTED_Name,Winterhearted
Achievements.WORM_FODDER_Description,"เอาชนะ Eater of Worlds หนอนตัวใหญ่ที่อาศัยอยู่ในแดน corruption แห่งความมืด"
Achievements.WORM_FODDER_Name,Worm Fodder
Achievements.YOU_AND_WHAT_ARMY_Description, summon 9 ตัว คงพอแล้วมั้ง?
Achievements.YOU_AND_WHAT_ARMY_Name,You and What Army?
Achievements.YOU_CAN_DO_IT_Description,รอดมาได้ไง คืนแรก?!
Achievements.YOU_CAN_DO_IT_Name,You Can Do It!
AnglerChatter.Chatter_1,ทำไม {Bartender} จะไม่ขายเบียร์ให้ผม อยากลองบ้าง! ช่างน่าเบื่อจริง!
AnglerChatter.Chatter_10,"ถึงผมไม่มีพ่อแม่ แต่ผมก็มีปลามากมาย! ก็คล้ายๆกันนั้นหล่ะ!"
AnglerChatter.Chatter_2,อะไรเนี่ย?! ไม่เห็นหรอว่าผมกำลังแก้สายเบ็ดอยู่??
AnglerChatter.Chatter_3,ผมมีปลามากพอแล้ว ตอนนี้ไม่ต้องการให้ช่วยอะไรแล้ว
AnglerChatter.Chatter_4,"ไม่มีคนทำอาหารใน {WorldName} เลยเหรอ? ปลาที่จับได้ ผมต้องมาทำกินเองสินะ"
AnglerChatter.Chatter_5,เฮ้! ระวังด้วย! ผมกำลังจะวางกับดักไว้แกล้งคน! ยังไม่ใครเห็น อย่าไปบอกใครหล่ะ!
AnglerChatter.Chatter_6,"ผมจะแนะนำอะไรให้ว่า อย่าได้เอาลิ้นไปแตะก้อนน้ำแข็ง เพราะ.....ว่า....เอ่อ..ช่างมันเถอะลืมมันไปซะ ผมแค่ ไม่อยากเห็นสิ่งที่เคยเกิดขึ้นกับ.. ผ..อ่อผมหมายถึงใครบางคน"
AnglerChatter.Chatter_7,"เคยได้ยินปลาเห่าได้หรือป่าว?! ผมไม่เคยนะ ผมคิดอยู่เล่นๆเหมือนกันว่าคุณเห่าได้มั้ย?"
AnglerChatter.Chatter_8,{WorldName} เต็มไปด้วยปลานานาชนิดที่ แปลกประหลาดที่สุด! ว่ามั้ย?
AnglerChatter.Chatter_9,"ผมเศร้า! อาจมีปลาที่สูญพันธุ์ไปแล้ว ก่อนที่ผมจะเกิดด้วยซ้ำและนั่นไม่ยุติธรรมเลย!"
AnglerQuestChatter.Chatter_1,"วู้ว! คุณทำให้ผมรำคาญครั้งที่ {AnglerCompletedQUSTOMCount} ถ้าผมไม่ได้ปลาเจ๋ง ๆ ในแต่ละครั้งผมคงเป็นบ้าไปแล้วจริงๆ!"
AnglerQuestChatter.Chatter_2,"รู้ไหมว่าตอนนี้ผมมีปลา {AnglerCompletedQbucksCount} ตัวที่เจ๋งมากๆ!! นั่นเป็นเพราะคุณจริงๆ!"
AnglerQuestText.NoQuest_1,ผมไม่มีอะไรให้คุณทำตอนนี้
AnglerQuestText.NoQuest_2,"คุณให้ความบันเทิงกับผมมามากพอแล้วสำหรับวันนี้ ไปเถอะ"
AnglerQuestText.NoQuest_3,"เรียบร้อยแล้วนิ, จ้าวแห่งการจับปลา หมดธรุระกับคุณแล้ว!"
AnglerQuestText.NoQuest_4,"ปลาหนึ่งตัวต่อวันเท่านั้น, ไปได้แล้ว!"
AnglerQuestText.NoQuest_5,ปลาตัวล่าสุดที่คุณให้ ผมยังไม่ได้ใช้ทำอะไรเลย ผมยังไม่ต้องการอะไรเพิ่ม
AnglerQuestText.Quest_AmanitaFungifin,"ผมพบว่าสถานที่ที่งดงามแห่งนี้มีเห็ดเรืองแสงขนาดยักษ์อยู่! ที่ทุกอย่างเป็นสีฟ้า! ผมกำลังเก็บเห็ดที่พบข้างๆทะเลสาบสีฟ้าอร่าม เมื่อเห็ดตัวหนึ่งกระโจนใส่ผมและว่ายน้ำหนีไป! ผมต้องการให้มันลองได้ลิ้มรสยาของมันเองและให้มันเป็นตัวทดลองยาอย่างดี! สิ่งที่ผมกำลังหมายถึง คือคุณต้องจับมันให้ผม!

(ต้องไปตกปลาที่  Glowing Mushroom Fields)"
AnglerQuestText.Quest_Angelfish,"คุณรู้หรือไม่ว่ามีเกาะมหัศจรรย์ทที่ลอยอยู่บนท้องฟ้า? พนันได้เลยว่าคุณไม่รู้! พวกเขาบอกว่าเทวดาอาศัยอยู่บนท้องฟ้า และผมเชื่อว่าเทวดาเหล่านั้นมีครีบและเหงือกและว่ายน้ำไปมา! ผมเชื่อว่าคุณต้องจับให้ผมได้!

(ต้องไปตกปลาที่  Sky Lakes)"
AnglerQuestText.Quest_Batfish,"Na na na na na na na Bat-FISH! นั่นหมายถึงไปใต้ดิน, เอามันมา, และนํามันมาให้ผม!

(ต้องไปตกปลาที่  Underground & Caverns)"
AnglerQuestText.Quest_BloodyManowar,"โอ๊ย อย่าเข้าใกล้ผม! ผมโดน Bloody Man-O-War ต่อย! จะบอกไว้ให้ในกรณีที่คุณไม่ฉลาดพอที่จะรู้ว่ามันคือตัวอะไร มันก็คือแมงกะพรุนที่อันตรายที่สุดใน {WorldName} ของทั้งหมด! ไปที่บริเวณ crimson และจับมันมาถ้าคุณกล้าพอ!

(ต้องไปตกปลาที่  Crimson)"
AnglerQuestText.Quest_Bonefish,"ปกติผมจะไม่ค่อยสนใจถ้าเห็นกระดูกปลาลอยอยู่ใต้ดิน แต่มันว่ายน้ำได้! คุณคิดว่ามีเพียงผีโครงกระดูกมนุษย์เท่านั้นฝังใน {WorldName} สินะ จับปลานั่นเอามาให้ผมเอาไปใส่ใต้เตียงหลอกใครบางคนหน่อย!

(ต้องไปตกปลาที่  Underground & Caverns)"
